"Apache log4j receivers";"git://git.apache.org/log4j-receivers.git";"log4j-receivers.git"
"Apache log4j zeroconf";"git://git.apache.org/log4j-zeroconf.git";"log4j-zeroconf.git"
"Apache log4j";"git://git.apache.org/log4j.git";"log4j.git"
"Apache log4net";"git://git.apache.org/log4net.git";"log4net.git"
"Apache log4php";"git://git.apache.org/log4php.git";"log4php.git"
"Apache Lucene & Solr";"git://git.apache.org/lucene-solr.git";"lucene-solr.git"
"Apache Lucene.NET";"git://git.apache.org/lucene.net.git";"lucene.net.git"
"Apache Lucy";"git://git.apache.org/lucy.git";"lucy.git"
"Apache Mahout";"git://git.apache.org/mahout.git";"mahout.git"
"Apache Maven 2";"git://git.apache.org/maven-2.git";"maven-2.git"
"Apache Maven 3";"git://git.apache.org/maven-3.git";"maven-3.git"
"Apache Maven ant tasks";"git://git.apache.org/maven-ant-tasks.git";"maven-ant-tasks.git"
"Apache Maven App Engine";"git://git.apache.org/maven-app-engine.git";"maven-app-engine.git"
"Apache Maven archetype";"git://git.apache.org/maven-archetype.git";"maven-archetype.git"
"Apache Maven Doxia sitetools";"git://git.apache.org/maven-doxia-sitetools.git";"maven-doxia-sitetools.git"
"Apache Maven Doxia tools";"git://git.apache.org/maven-doxia-tools.git";"maven-doxia-tools.git"
"Apache Maven Doxia";"git://git.apache.org/maven-doxia.git";"maven-doxia.git"
"Apache Maven enforcer";"git://git.apache.org/maven-enforcer.git";"maven-enforcer.git"
"Apache Maven Indexer";"git://git.apache.org/maven-indexer.git";"maven-indexer.git"
"Apache Maven Integration Testing";"git://git.apache.org/maven-integration-testing.git";"maven-integration-testing.git"
"Apache Maven jxr";"git://git.apache.org/maven-jxr.git";"maven-jxr.git"
"Apache Maven mercury";"git://git.apache.org/maven-mercury.git";"maven-mercury.git"
"Apache Maven plugin testing";"git://git.apache.org/maven-plugin-testing.git";"maven-plugin-testing.git"
"Apache Maven plugin tools";"git://git.apache.org/maven-plugin-tools.git";"maven-plugin-tools.git"
"Apache Maven plugins";"git://git.apache.org/maven-plugins.git";"maven-plugins.git"
"Apache Maven pom";"git://git.apache.org/maven-pom.git";"maven-pom.git"
"Apache Maven release";"git://git.apache.org/maven-release.git";"maven-release.git"
"Apache Maven repository tools";"git://git.apache.org/maven-repository-tools.git";"maven-repository-tools.git"
"Apache Maven resources";"git://git.apache.org/maven-resources.git";"maven-resources.git"
"Apache Maven sandbox";"git://git.apache.org/maven-sandbox.git";"maven-sandbox.git"
"Apache Maven scm";"git://git.apache.org/maven-scm.git";"maven-scm.git"
"Apache Maven shared";"git://git.apache.org/maven-shared.git";"maven-shared.git"
"Apache Maven site";"git://git.apache.org/maven-site.git";"maven-site.git"
"Apache Maven skins";"git://git.apache.org/maven-skins.git";"maven-skins.git"
"Apache Maven Surefire";"git://git.apache.org/maven-surefire.git";"maven-surefire.git"
"Apache Maven wagon";"git://git.apache.org/maven-wagon.git";"maven-wagon.git"
"Apache Maven";"git://git.apache.org/maven.git";"maven.git"
"Apache Mesos";"git://git.apache.org/mesos.git";"mesos.git"
"Apache MINA SSHD";"git://git.apache.org/mina-sshd.git";"mina-sshd.git"
"Apache MINA";"git://git.apache.org/mina.git";"mina.git"
"Apache mod_perl";"git://git.apache.org/mod_perl.git";"mod_perl.git"
"Apache MRUnit";"git://git.apache.org/mrunit.git";"mrunit.git"
"Apache MyFaces ExtCDI (CODI)";"git://git.apache.org/myfaces-extcdi.git";"myfaces-extcdi.git"
"Apache MyFaces ExtVal";"git://git.apache.org/myfaces-extval.git";"myfaces-extval.git"
"Apache MyFaces Html5 Renderkit";"git://git.apache.org/myfaces-html5.git";"myfaces-html5.git"
"Apache MyFaces Portlet-Bridge";"git://git.apache.org/myfaces-portlet-bridge.git";"myfaces-portlet-bridge.git"
"Apache MyFaces Scripting";"git://git.apache.org/myfaces-scripting.git";"myfaces-scripting.git"
"Apache MyFaces";"git://git.apache.org/myfaces.git";"myfaces.git"
"Apache NPanday ITs";"git://git.apache.org/npanday-its.git";"npanday-its.git"
"Apache NPanday";"git://git.apache.org/npanday.git";"npanday.git"
"Apache Nutch";"git://git.apache.org/nutch.git";"nutch.git"
"Apache Nuvem";"git://git.apache.org/nuvem.git";"nuvem.git"
"Apache ODE";"git://git.apache.org/ode.git";"ode.git"
"Apache OFBiz";"git://git.apache.org/ofbiz.git";"ofbiz.git"
"Apache Oozie";"git://git.apache.org/oozie.git";"oozie.git"
"Apache OpenEJB";"git://git.apache.org/openejb.git";"openejb.git"
"Apache OpenJPA";"git://git.apache.org/openjpa.git";"openjpa.git"
"Apache OpenNLP (Incubating)";"git://git.apache.org/opennlp.git";"opennlp.git"
"Apache OpenWebBeans";"git://git.apache.org/openwebbeans.git";"openwebbeans.git"
"Apache PDFBox";"git://git.apache.org/pdfbox.git";"pdfbox.git"
"Apache Photark - Mobile (Incubating)";"git://git.apache.org/photark-mobile.git";"photark-mobile.git"
"Apache Photark - Server (Incubating)";"git://git.apache.org/photark.git";"photark.git"
"Apache Pig";"git://git.apache.org/pig.git";"pig.git"
"Apache Pivot";"git://git.apache.org/pivot.git";"pivot.git"
"Apache Pluto";"git://git.apache.org/pluto.git";"pluto.git"
"Apache POI";"git://git.apache.org/poi.git";"poi.git"
"Apache Qpid";"git://git.apache.org/qpid.git";"qpid.git"
"Apache Rampart";"git://git.apache.org/rampart.git";"rampart.git"
"Apache RAT (incubating)";"git://git.apache.org/rat.git";"rat.git"
"Apache Rave";"git://git.apache.org/rave.git";"rave.git"
"Apache Redback components";"git://git.apache.org/redback-components.git";"redback-components.git"
"Apache Redback core";"git://git.apache.org/redback-core.git";"redback-core.git"
"Apache River";"git://git.apache.org/river.git";"river.git"
"Apache Roller";"git://git.apache.org/roller.git";"roller.git"
"Apache Sandesha";"git://git.apache.org/sandesha.git";"sandesha.git"
"Commons Sanselan";"git://git.apache.org/sanselan.git";"sanselan.git"
"Apache Santuario C++";"git://git.apache.org/santuario-cpp.git";"santuario-cpp.git"
"Apache Santuario Java";"git://git.apache.org/santuario-java.git";"santuario-java.git"
"Apache Savan";"git://git.apache.org/savan.git";"savan.git"
